model,scenario,timestamp,gpu_exp,success,final_score,driving_mile,complete_percentage,driving_time,decision_time,comfort_score,efficiency_score,safety_score,red_light_penalty,speed_limit_penalty,fail_penalty,exp_dir
Limsimtm,intersection,20250109_003211,gpu1_exp3,True,86.405,103.422,100.0,19.5,0.032810951534070466,0.212,0.152,0.5,1.0,1.0,1.0,Limsimtm_intersection_20250109_003211_gpu1_exp3
interfuser,curve,20250110_003814,gpu1_exp3,True,84.824,247.67,100.0,30.6,0.10053283034778032,0.173,0.175,0.5,1.0,1.0,1.0,interfuser_curve_20250110_003814_gpu1_exp3
VLMagentCloseLoop,ramp,20250109_003211,gpu0_exp2,False,22.407,150.64,78.162,21.3,10.64102200269699,0.189,0.174,0.5,0.7,0.791,0.6,VLMagentCloseLoop_ramp_20250109_003211_gpu0_exp2
Limsimtm,straight,20250109_003211,gpu3_exp9,True,92.351,341.933,100.0,44.9,0.1314925713972612,0.242,0.237,0.445,1.0,1.0,1.0,Limsimtm_straight_20250109_003211_gpu3_exp9
interfuser,roundabout,20250110_003814,gpu0_exp3,False,6.681,18.729,12.74,4.8,0.11152925389878293,0.136,0.238,0.5,1.0,1.0,0.6,interfuser_roundabout_20250110_003814_gpu0_exp3
Limsimtm,intersection,20250109_003211,gpu1_exp5,True,85.662,103.422,100.0,19.5,0.03177797166924728,0.204,0.152,0.5,1.0,1.0,1.0,Limsimtm_intersection_20250109_003211_gpu1_exp5
VLMagentCloseLoop,long,term_20250108,181109_gpu0_exp3,False,11.649,413.574,41.234,57.3,10.243757375649043,0.188,0.15,0.48,0.7,0.823,0.6,VLMagentCloseLoop_long_term_20250108_181109_gpu0_exp3
interfuser,curve,20250110_003814,gpu3_exp9,True,90.804,247.67,100.0,30.8,0.105307735138685,0.185,0.223,0.5,1.0,1.0,1.0,interfuser_curve_20250110_003814_gpu3_exp9
interfuser,straight,20250110_003814,gpu1_exp5,True,47.57,341.933,100.0,42.7,0.09725118522912683,0.172,0.238,0.5,1.0,0.523,1.0,interfuser_straight_20250110_003814_gpu1_exp5
VLMagentCloseLoop,curve,20250109_003211,gpu2_exp7,True,79.639,247.67,100.0,34.1,8.891387997251568,0.183,0.16,0.453,1.0,1.0,1.0,VLMagentCloseLoop_curve_20250109_003211_gpu2_exp7
Limsimtm,ramp,20250109_003211,gpu0_exp1,True,89.594,192.728,100.0,32.6,0.13828088343143463,0.173,0.243,0.48,1.0,1.0,1.0,Limsimtm_ramp_20250109_003211_gpu0_exp1
VLMagentCloseLoop,ramp,20250109_003211,gpu0_exp1,True,49.969,192.728,100.0,23.5,8.996389616619457,0.172,0.179,0.486,0.7,0.854,1.0,VLMagentCloseLoop_ramp_20250109_003211_gpu0_exp1
Limsimtm,roundabout,20250109_003211,gpu0_exp2,True,83.65,147.008,100.0,18.0,0.06737298123976763,0.106,0.23,0.5,1.0,1.0,1.0,Limsimtm_roundabout_20250109_003211_gpu0_exp2
VLMagentCloseLoop,roundabout,20250109_003211,gpu0_exp1,True,55.039,147.008,100.0,19.8,11.277243667178684,0.113,0.204,0.5,1.0,0.674,1.0,VLMagentCloseLoop_roundabout_20250109_003211_gpu0_exp1
Limsimtm,long,term_20250108,225630_gpu2_exp6,True,82.407,1002.987,100.0,137.1,0.0632609868571706,0.183,0.175,0.499,1.0,0.961,1.0,Limsimtm_long_term_20250108_225630_gpu2_exp6
PDM,intersection,20250109_003211,gpu3_exp9,True,74.44,103.422,100.0,17.1,0.013425831233753878,0.173,0.192,0.5,1.0,0.86,1.0,PDM_intersection_20250109_003211_gpu3_exp9
Limsimtm,straight,20250109_003211,gpu1_exp5,True,58.125,341.933,100.0,38.0,0.06943865198838084,0.214,0.227,0.5,1.0,0.618,1.0,Limsimtm_straight_20250109_003211_gpu1_exp5
